head,relation,tail
Education,with,Education 2011 Ph.D.
Education,with, Astronomy
Education,with, Steward Observatory
Education,with, The University of Arizona
András Gáspár,Education,Thesis: “Observations and models of infrared debris disk signatures and
András Gáspár,Education,their evolution”
András Gáspár,Education,Advisor: Prof. George H. Rieke
András Gáspár,Education,"2008 M.Sc., Astronomy, Steward Observatory, The University of Arizona"
Education,done in,2008
András Gáspár,as,2008 M.Sc.
Education,with,2008 M.Sc.
Education,with, Astronomy
Education,with, Steward Observatory
Education,with, The University of Arizona
András Gáspár,Education,"2006 B.Sc., Astronomy, University of Szeged, Hungary"
Education,done in,2006
András Gáspár,as,2006 B.Sc.
Education,with,2006 B.Sc.
Education,with, Astronomy
Education,with, University of Szeged
Education,with, Hungary
András Gáspár,Education,Advisor: Dr. Zoltán Balog
András Gáspár,Appointments,"Appointments 2017 - current Adjunct Faculty, Pima Community College"
Appointments,done in,Appointments 2017
András Gáspár,as,Appointments 2017 - current Adjunct Faculty
Appointments,with,Appointments 2017 - current Adjunct Faculty
Appointments,with, Pima Community College
András Gáspár,Appointments,(secondary job to advance teaching skills)
András Gáspár,Grants,Proposals/
András Gáspár,Grants,Grants
András Gáspár,Grants,(PI)
András Gáspár,Grants,2012 Pointing the Finger: Calibrating the Hidden Features of STIS
Grants,done in,2012
András Gáspár,as,2012 Pointing the Finger: Calibrating the Hidden Features of STIS
Grants,with,2012 Pointing the Finger: Calibrating the Hidden Features of STIS
András Gáspár,Grants,and Enabling New Coronagraphy at Separations of 0.15 ′′
András Gáspár,Grants,(Co-I)
András Gáspár,Grants,2016 Debris Disk Variability - Exploring the Diverse
Grants,done in,2016
András Gáspár,as,2016 Debris Disk Variability - Exploring the Diverse
Grants,with,2016 Debris Disk Variability - Exploring the Diverse
András Gáspár,Grants,Outcomes of Large Collisions during the Eras of Oligarchic
András Gáspár,Grants,and Chaotic Growth
András Gáspár,Grants,NASA ADAP ($200k)
András Gáspár,Grants,2016 Probing Terrestrial Planet Formation with Extreme
Grants,done in,2016
András Gáspár,as,2016 Probing Terrestrial Planet Formation with Extreme
Grants,with,2016 Probing Terrestrial Planet Formation with Extreme
András Gáspár,Grants,Disk Variability
András Gáspár,Grants,Total award: 120 h with Spitzer Space Telescope
András Gáspár,Grants,1
András Gáspár,Grants,mailto:agaspar@as.arizona.edu
András Gáspár,Grants,http://merope.as.arizona.edu/~agaspar
András Gáspár,Grants,
András Gáspár,Grants,2015 Contrasting Exoplanetary Systems by Resolving the
Grants,done in,2015
András Gáspár,as,2015 Contrasting Exoplanetary Systems by Resolving the
Grants,with,2015 Contrasting Exoplanetary Systems by Resolving the
András Gáspár,Grants,Debris Disk around Denebola
András Gáspár,Grants,Total award: 8.5 h with ALMA
András Gáspár,Grants,2014 Earths in Other Solar Systems: Toward forming and
Grants,done in,2014
András Gáspár,as,2014 Earths in Other Solar Systems: Toward forming and
Grants,with,2014 Earths in Other Solar Systems: Toward forming and
András Gáspár,Grants,discovering planets with biocritical ingredients
András Gáspár,Grants,NASA Astrobiology Institute proposal ( $7 million)
András Gáspár,Grants,2014 Decoding Debris System Substructures: Imprints of
Grants,done in,2014
András Gáspár,as,2014 Decoding Debris System Substructures: Imprints of
Grants,with,2014 Decoding Debris System Substructures: Imprints of
András Gáspár,Grants,Planets/Planetesimals and Signatures of Extrinsic Influences
András Gáspár,Grants,on Material in Ring-Like Disks
András Gáspár,Grants,Total award: 40 orbits on HST/STIS ($280k)
András Gáspár,Grants,2014 Pushing to 8 AU in the archetypal protoplanetary
Grants,done in,2014
András Gáspár,as,2014 Pushing to 8 AU in the archetypal protoplanetary
Grants,with,2014 Pushing to 8 AU in the archetypal protoplanetary
András Gáspár,Grants,disk of TW Hya
András Gáspár,Grants,Total award: 8 orbits on HST/STIS
András Gáspár,Grants,2010 Diversity in Debris Disks: Snapshots of Planetary System Evolution
Grants,done in,2010
András Gáspár,as,2010 Diversity in Debris Disks: Snapshots of Planetary System Evolution
Grants,with,2010 Diversity in Debris Disks: Snapshots of Planetary System Evolution
András Gáspár,Grants,Total award: 109 h with Spitzer Space Telescope ($266k)
András Gáspár,Grants,2009 The Master Sample of Spitzer Debris Disk Measurements
Grants,done in,2009
András Gáspár,as,2009 The Master Sample of Spitzer Debris Disk Measurements
Grants,with,2009 The Master Sample of Spitzer Debris Disk Measurements
András Gáspár,Grants,Total award: 103 h with Spitzer Space Telescope ($330k)
András Gáspár,Observing,Total award: 6 orbits on HST/STIS ($88k)
András Gáspár,Observing,2011 Observing Young Debris Disks with SPIRE
Observing,done in,2011
András Gáspár,as,2011 Observing Young Debris Disks with SPIRE
Observing,with,2011 Observing Young Debris Disks with SPIRE
András Gáspár,Observing,Total award: 2.2 hours of OT2 time with Herschel
András Gáspár,Observing,(Not carried out due to EOM)
András Gáspár,Observing,Observing
András Gáspár,Observing,Experience
András Gáspár,Observing,"60 cm Schmidt (Konkoly Obs., MTA; 3 weeks), 1 m RCC (Konkoly Obs.,"
András Gáspár,Observing,"MTA; 2 weeks), MMT (2 nights), Bok 2.3 m (2 nights), Mt. Bigelow 48′′ (2"
András Gáspár,Observing,"nights), HST (6 orbits), LBT (5 nights)"
András Gáspár,Observing,3
András Gáspár,Current,Current
András Gáspár,Current,Research
András Gáspár,Current,Projects
András Gáspár,Current,• JWST/NIRCam GTO Debris Disk program lead (50 hours)
András Gáspár,Current,• JWST/MIRI GTO Archetypical Debris Disks program lead (50 hours)
András Gáspár,Current,• JWST/MIRI Science Instrument team member
András Gáspár,Current,• D3D: GPU based 3D Debris Disk model development program lead
András Gáspár,Current,• HST/STIS BAR5 coronagraph calibration program lead (6 orbits on HST)
András Gáspár,Current,"8. λ Boötis stars: Current status and new insights from Spitzer,"
András Gáspár,Current,"Kamp, I., Martínez-Galarza, J. R., Paunzen, E., Su, K. Y. L., Gáspár, A., and Rieke, G. H."
András Gáspár,Current,"2008, Contributions of the Astronomical Observatory SkalnatÃl’ Pleso, vol. 38, no. 2, p. 147-156"
Current,done in,2008
András Gáspár,as,2008
Current,with,2008
Current,with, Contributions of the Astronomical Observatory SkalnatÃl’ Pleso
Current,with, vol. 38
Current,with, no. 2
Current,with, p. 147-156
András Gáspár,Current,"∗9. Preliminary Results on Newly Discovered Embedded Clusters,"
András Gáspár,Current,"Gáspár, András, Balog, Zoltán, Makai, Zoltán, Vinkó, József, and Kenyon, Scott"
András Gáspár,Current,"2005, Cores to Clusters: Star Formation with Next Generation Telescopes, Porto, Portugal, p."
Current,done in,2005
András Gáspár,as,2005
Current,with,2005
Current,with, Cores to Clusters: Star Formation with Next Generation Telescopes
Current,with, Porto
Current,with, Portugal
Current,with, p.
András Gáspár,Current,209
András Gáspár,Current,"∗10. A Variable Star Survey of the Open Cluster NGC 2126,"
Current,done in,∗10. A Variable Star Survey of the Open Cluster NGC 2126
András Gáspár,as,∗10. A Variable Star Survey of the Open Cluster NGC 2126
Current,with,∗10. A Variable Star Survey of the Open Cluster NGC 2126
András Gáspár,Current,"Gáspár, A., Kiss, L. L., Derekas, A., Bedding, T. R., Kaspi, S., Kiss, C., Sárneczky, K., Szabó,"
András Gáspár,Current,"G. M., and Váradi, M."
András Gáspár,Current,"2004, Communications in Astroseismology, 145, 70"
Current,done in,2004
András Gáspár,as,2004
Current,with,2004
Current,with, Communications in Astroseismology
Current,with, 145
Current,with, 70
András Gáspár,Outreach,Teaching/
András Gáspár,Outreach,Outreach
András Gáspár,Outreach,"2017 AST101IN: Solar System (hybrid course),"
Outreach,done in,2017
András Gáspár,as,2017 AST101IN: Solar System (hybrid course)
Outreach,with,2017 AST101IN: Solar System (hybrid course)
András Gáspár,Outreach,Pima Community College
András Gáspár,Outreach,"2010 TA for ASTR 202: Life in the Universe, UofA"
Outreach,done in,2010
András Gáspár,as,2010 TA for ASTR 202: Life in the Universe
Outreach,with,2010 TA for ASTR 202: Life in the Universe
Outreach,with, UofA
András Gáspár,Outreach,http://merope.as.arizona.edu/˜agaspar/ASTR202
András Gáspár,Outreach,Professor: Dr. Christopher Walker
András Gáspár,Outreach,"2009 TA for ASTR 250: Fundamentals of Astronomy, UofA"
Outreach,done in,2009
András Gáspár,as,2009 TA for ASTR 250: Fundamentals of Astronomy
Outreach,with,2009 TA for ASTR 250: Fundamentals of Astronomy
Outreach,with, UofA
András Gáspár,Outreach,Professor: Dr. Yancy Shirley
András Gáspár,Outreach,"2006 Astronomical Lab II, University of Szeged"
Outreach,done in,2006
András Gáspár,as,2006 Astronomical Lab II
Outreach,with,2006 Astronomical Lab II
Outreach,with, University of Szeged
András Gáspár,Outreach,"2005 Astronomical Lab I, University of Szeged"
Outreach,done in,2005
András Gáspár,as,2005 Astronomical Lab I
Outreach,with,2005 Astronomical Lab I
Outreach,with, University of Szeged
András Gáspár,Outreach,"2001 - 2006 Open nights at the Public Observatory, Szeged, Hungary"
Outreach,done in,2001 - 2006
András Gáspár,as,2001 - 2006 Open nights at the Public Observatory
Outreach,with,2001 - 2006 Open nights at the Public Observatory
Outreach,with, Szeged
Outreach,with, Hungary
András Gáspár,Students,"Students • Co-Supervised: M.Sc. for Attila Simon (Ph.D.), The University of Szeged,"
András Gáspár,Students,Hungary (2004-2006)
Students,done in,Hungary (2004-2006
András Gáspár,as,Hungary (2004-2006)
Students,with,Hungary (2004-2006)
András Gáspár,Students,"• Co-Supervised: Ph.D. for Nick Ballering, The University of Arizona (2013-"
Students,done in,"• Co-Supervised: Ph.D. for Nick Ballering, The University of Arizona (2013"
András Gáspár,as,• Co-Supervised: Ph.D. for Nick Ballering
Students,with,• Co-Supervised: Ph.D. for Nick Ballering
Students,with, The University of Arizona (2013-
András Gáspár,Students,2016)
Students,done in,2016
András Gáspár,as,2016)
Students,with,2016)
András Gáspár,Students,2
András Gáspár,Students,http://merope.as.arizona.edu/~agaspar/ASTR202
András Gáspár,awards,
András Gáspár,awards,Honors/
András Gáspár,awards,awards
András Gáspár,Conference,"2005 27th National Undergraduate Conference Physics, Geology and Mathe-"
Conference,done in,2005
András Gáspár,as,2005 27th National Undergraduate Conference Physics
Conference,with,2005 27th National Undergraduate Conference Physics
Conference,with, Geology and Mathe-
András Gáspár,Conference,"matics section, ""Stars and stellar clusters"" category I. prize"
András Gáspár,Conference,Thesis: Mapping of starbirth regions in the near-infrared
András Gáspár,Conference,2005 Pro Scientia gold medal from the Hungarian Academy of Sciences
Conference,done in,2005
András Gáspár,as,2005 Pro Scientia gold medal from the Hungarian Academy of Sciences
Conference,with,2005 Pro Scientia gold medal from the Hungarian Academy of Sciences
András Gáspár,Conference,2005 Albert Szent-Györgyi Scholarship
Conference,done in,2005
András Gáspár,as,2005 Albert Szent-Györgyi Scholarship
Conference,with,2005 Albert Szent-Györgyi Scholarship
András Gáspár,Conference,2005 Scholarship of the Hungarian Republic
Conference,done in,2005
András Gáspár,as,2005 Scholarship of the Hungarian Republic
Conference,with,2005 Scholarship of the Hungarian Republic
András Gáspár,Conference,2003 Pro Renovanda Culturae Scholarship
Conference,done in,2003
András Gáspár,as,2003 Pro Renovanda Culturae Scholarship
Conference,with,2003 Pro Renovanda Culturae Scholarship
András Gáspár,Conference,"2003 26th National Undergraduate Conference Physics, Geology and Mathe-"
Conference,done in,2003
András Gáspár,as,2003 26th National Undergraduate Conference Physics
Conference,with,2003 26th National Undergraduate Conference Physics
Conference,with, Geology and Mathe-
András Gáspár,Conference,"matics section, ""Astrophysics"" category III. prize"
András Gáspár,Conference,Thesis: The photometric study of open cluster NGC 2126
Conference,done in,Thesis: The photometric study of open cluster NGC 2126
András Gáspár,as,Thesis: The photometric study of open cluster NGC 2126
Conference,with,Thesis: The photometric study of open cluster NGC 2126
András Gáspár,Conference,Conference abstracts and proceedings
András Gáspár,Conference,"∗1. The Collisional Evolution of Debris Disks,"
András Gáspár,Conference,"2014, poster presented at Search for Life Beyond the Solar System. Exoplanets, Biosignatures &"
Conference,done in,2014
András Gáspár,as,2014
Conference,with,2014
Conference,with, poster presented at Search for Life Beyond the Solar System. Exoplanets
Conference,with, Biosignatures &
András Gáspár,Conference,"Instruments., Tucson, AZ"
András Gáspár,Conference,"∗2. The Collisional Evolution of Debris Disks,"
András Gáspár,Conference,"2013, poster presented at 5th Subaru International Conference, Kona, HI"
Conference,done in,2013
András Gáspár,as,2013
Conference,with,2013
Conference,with, poster presented at 5th Subaru International Conference
Conference,with, Kona
Conference,with, HI
András Gáspár,Conference,"∗3. Debris Disk Time Evolution - Connecting Observations with Theory,"
András Gáspár,Conference,"2013, talk presented at AAS #221, Long Beach, CA"
Conference,done in,2013
András Gáspár,as,2013
Conference,with,2013
Conference,with, talk presented at AAS #221
Conference,with, Long Beach
Conference,with, CA
András Gáspár,Conference,"∗4. The Collisional Evolution of Debris Disks,"
András Gáspár,Conference,"2012, talk presented at the National Capital Area Disks Meeting, STScI, Baltimore, MD"
Conference,done in,2012
András Gáspár,as,2012
Conference,with,2012
Conference,with, talk presented at the National Capital Area Disks Meeting
Conference,with, STScI
Conference,with, Baltimore
Conference,with, MD
András Gáspár,Conference,7
András Gáspár,Conference,"∗5. A New Numerical Model of Collisional Cascades in Debris Disks,"
András Gáspár,Conference,"Gáspár, András, Psaltis, Dimitrios, Özel, Feryal, Rieke, George, and Cooney, A."
András Gáspár,Conference,"2011, poster presented at Exploring Strange New Worlds, Flagstaff, AZ"
Conference,done in,2011
András Gáspár,as,2011
Conference,with,2011
Conference,with, poster presented at Exploring Strange New Worlds
Conference,with, Flagstaff
Conference,with, AZ
András Gáspár,Conference,"6. The Master Sample of Spitzer Debris Disk Measurements,"
András Gáspár,Conference,"Su, Kate Y. L., Rieke, G., Stapelfeldt, K., Bryden, G., Werner, M., Plavchan, P., Trilling, D.,"
András Gáspár,Conference,"Gáspár, A., and Morales, F."
András Gáspár,Conference,"2010, American Astronomical Society, AAS Meeting #215"
Conference,done in,2010
András Gáspár,as,2010
Conference,with,2010
Conference,with, American Astronomical Society
Conference,with, AAS Meeting #215
András Gáspár,Conference,"∗7. False Signs of Debris Disks,"
András Gáspár,Conference,"Gáspár, András, Su, Kate Y. L., Rieke, George H., Balog, Zoltán, Mamajek, Eric, Kamp, Inga,"
András Gáspár,Conference,"Martínez-Galarza, Juan R., Stapelfeldt, K."
András Gáspár,Conference,"2008, poster presented at New Light on Young Stars: Spitzer’s View of Circumstellar Disks,"
Conference,done in,2008
András Gáspár,as,2008
Conference,with,2008
Conference,with, poster presented at New Light on Young Stars: Spitzer’s View of Circumstellar Disks
András Gáspár,Conference,"Pasadena, CA"
András Gáspár,Conference,"11. A Variable Star Survey of the Open Cluster NGC 2126,"
Conference,done in,11. A Variable Star Survey of the Open Cluster NGC 2126
András Gáspár,as,11. A Variable Star Survey of the Open Cluster NGC 2126
Conference,with,11. A Variable Star Survey of the Open Cluster NGC 2126
András Gáspár,Conference,"Derekas, A., Kiss, L. L., Bedding, T. R., Gáspár, A., Sárneczky, K., Szabó, Gy. M., Váradi, M.,"
András Gáspár,Conference,"Kaspi, S., and Kiss, Cs."
András Gáspár,Conference,"2004, Variable Stars in the Local Group, IAU Colloquium 193, New Zealand, ASP Conference"
Conference,done in,2004
András Gáspár,as,2004
Conference,with,2004
Conference,with, Variable Stars in the Local Group
Conference,with, IAU Colloquium 193
Conference,with, New Zealand
Conference,with, ASP Conference
András Gáspár,Conference,"Proceedings, Vol. 310, p. 162"
András Gáspár,Conference,8
András Gáspár,Meetings,Selected
András Gáspár,Meetings,Talks/
András Gáspár,Meetings,Meetings
András Gáspár,Meetings,2016 National Capital Area Disks Meeting 2016 (NCAD 2016)
Meetings,done in,2016 National Capital Area Disks Meeting 2016 (NCAD 2016
András Gáspár,as,2016 National Capital Area Disks Meeting 2016 (NCAD 2016)
Meetings,with,2016 National Capital Area Disks Meeting 2016 (NCAD 2016)
András Gáspár,Meetings,"2016 JWST GTO meeting, Victoria, CA"
Meetings,done in,2016
András Gáspár,as,2016 JWST GTO meeting
Meetings,with,2016 JWST GTO meeting
Meetings,with, Victoria
Meetings,with, CA
András Gáspár,Meetings,"2014 Search for Life Beyond the Solar System. Exoplanets,"
Meetings,done in,2014
András Gáspár,as,2014 Search for Life Beyond the Solar System. Exoplanets
Meetings,with,2014 Search for Life Beyond the Solar System. Exoplanets
András Gáspár,Meetings,"Biosignatures & Instruments., Tucson, AZ"
András Gáspár,Meetings,"2013 5th Subaru International Conference, Kona, HI"
Meetings,done in,2013
András Gáspár,as,2013 5th Subaru International Conference
Meetings,with,2013 5th Subaru International Conference
Meetings,with, Kona
Meetings,with, HI
András Gáspár,Meetings,2013 Invited talk at AAS #221
Meetings,done in,2013
András Gáspár,as,2013 Invited talk at AAS #221
Meetings,with,2013 Invited talk at AAS #221
András Gáspár,Meetings,2012 NASA Goddard Extrasolar Planets Seminar
Meetings,done in,2012
András Gáspár,as,2012 NASA Goddard Extrasolar Planets Seminar
Meetings,with,2012 NASA Goddard Extrasolar Planets Seminar
András Gáspár,Meetings,2012 STScI Star and Planet Formation Seminar Series
Meetings,done in,2012
András Gáspár,as,2012 STScI Star and Planet Formation Seminar Series
Meetings,with,2012 STScI Star and Planet Formation Seminar Series
András Gáspár,Meetings,2012 Carnegie DTM Astronomy Group Seminar
Meetings,done in,2012
András Gáspár,as,2012 Carnegie DTM Astronomy Group Seminar
Meetings,with,2012 Carnegie DTM Astronomy Group Seminar
András Gáspár,Meetings,2012 National Capital Area Disks Meeting 2012 (NCAD 2012)
Meetings,done in,2012 National Capital Area Disks Meeting 2012 (NCAD 2012
András Gáspár,as,2012 National Capital Area Disks Meeting 2012 (NCAD 2012)
Meetings,with,2012 National Capital Area Disks Meeting 2012 (NCAD 2012)
András Gáspár,Meetings,"2011 Exploring Strange New Worlds, Flagstaff, AZ"
Meetings,done in,2011
András Gáspár,as,2011 Exploring Strange New Worlds
Meetings,with,2011 Exploring Strange New Worlds
Meetings,with, Flagstaff
Meetings,with, AZ
András Gáspár,Services,"Services • Referee for The Astrophysical Journal, The Astronomical Journal, and As-"
András Gáspár,Services,tronomy & Astrophysics
András Gáspár,Services,"• Hungarian translation of Disk Detective, NASA citizen science project"
András Gáspár,Services,• Organized the Summer Disk Seminar Series 2012 at Steward Obs.
Services,done in,• Organized the Summer Disk Seminar Series 2012
András Gáspár,as,• Organized the Summer Disk Seminar Series 2012 at Steward Obs.
Services,with,• Organized the Summer Disk Seminar Series 2012 at Steward Obs.
András Gáspár,Publications,Publications
András Gáspár,Citations,Citations of refereed articles (First Authored/total): 193/667
András Gáspár,Citations,h-index of refereed articles (First Authored/total): 7/13
András Gáspár,Citations,Refereed First Authored Papers
András Gáspár,Citations,"∗1. The Correlation Between Metallicity and Debris Disk mass,"
András Gáspár,Citations,"Gáspár, András, Rieke, George, and Ballering, Nicholas"
András Gáspár,Citations,"2016, The Astrophysical Journal, 826, 171G"
Citations,done in,2016
András Gáspár,as,2016
Citations,with,2016
Citations,with, The Astrophysical Journal
Citations,with, 826
Citations,with, 171G
András Gáspár,Citations,"∗2. The Herschel Cold Debris Disks: Confusion with the Extragalactic Background at 160 µm,"
András Gáspár,Citations,"Gáspár, András, and Rieke, George"
András Gáspár,Citations,"2014, The Astrophysical Journal, 784, 33G"
Citations,done in,2014
András Gáspár,as,2014
Citations,with,2014
Citations,with, The Astrophysical Journal
Citations,with, 784
Citations,with, 33G
András Gáspár,Citations,"∗3. The Collisional Evolution of Debris Disks,"
András Gáspár,Citations,"Gáspár, András, Rieke, George, and Balog, Zoltan"
András Gáspár,Citations,"2013, The Astrophysical Journal, 768, 25"
Citations,done in,2013
András Gáspár,as,2013
Citations,with,2013
Citations,with, The Astrophysical Journal
Citations,with, 768
Citations,with, 25
András Gáspár,Citations,"∗4. Modeling Collisional Cascades in Debris Disks: Steep Dust-Size Distributions,"
András Gáspár,Citations,"Gáspár, András, Psaltis, Dimitrios, Özel, Feryal, Rieke, George, and Cooney, A."
András Gáspár,Citations,"2012, The Astrophysical Journal, 754, 74G"
Citations,done in,2012
András Gáspár,as,2012
Citations,with,2012
Citations,with, The Astrophysical Journal
Citations,with, 754
Citations,with, 74G
András Gáspár,Citations,"∗5. Modeling Collisional Cascades in Debris Disks: The Numerical Method,"
András Gáspár,Citations,"2012, The Astrophysical Journal, 749, 14G"
Citations,done in,2012
András Gáspár,as,2012
Citations,with,2012
Citations,with, The Astrophysical Journal
Citations,with, 749
Citations,with, 14G
András Gáspár,Citations,∗6. The Low Level of Debris Disk Activity at the Time of the Late Heavy Bombardment: A Spitzer
András Gáspár,Citations,"Study of Praesepe,"
András Gáspár,Citations,"Gáspár, András, Rieke, George H., Su, Kate Y. L., Balog, Zoltán, Trilling, David, Muzzerole,"
András Gáspár,Citations,"James, Apai, Dániel, and Kelly, Brandon C."
András Gáspár,Citations,"2009, The Astrophysical Journal, 697, 1578G"
Citations,done in,"2009, The Astrophysical Journal, 697, 1578"
András Gáspár,as,2009
Citations,with,2009
Citations,with, The Astrophysical Journal
Citations,with, 697
Citations,with, 1578G
András Gáspár,Citations,∗7. Modeling the Infrared Bow Shock at δ Velorum: Implications for Studies of Debris Disks and λ
András Gáspár,Citations,"Boötis Stars,"
András Gáspár,Citations,"Gáspár, András, Su, Kate Y. L., Rieke, George H., Balog, Zoltán, Kamp, Inga, Martínez-"
András Gáspár,Citations,"Galarza, Juan R., and Stapelfeldt, Karl"
András Gáspár,Citations,"2008, The Astrophysical Journal, 672, 974G"
Citations,done in,2008
András Gáspár,as,2008
Citations,with,2008
Citations,with, The Astrophysical Journal
Citations,with, 672
Citations,with, 974G
András Gáspár,Citations,"∗8. The first CCD photometric study of the open cluster NGC 2126,"
Citations,done in,∗8. The first CCD photometric study of the open cluster NGC 2126
András Gáspár,as,∗8. The first CCD photometric study of the open cluster NGC 2126
Citations,with,∗8. The first CCD photometric study of the open cluster NGC 2126
András Gáspár,Citations,"Gáspár, A., Kiss, L. L., Bedding, T. R., Derekas, A., Kaspi, S., Kiss, Cs., Sárneczky, K., Szabó,"
András Gáspár,Citations,"Gy. M., and Váradi, M."
András Gáspár,Citations,"2003, Astronomy & Astrophysics, 410, 879G"
Citations,done in,2003
András Gáspár,as,2003
Citations,with,2003
Citations,with, Astronomy & Astrophysics
Citations,with, 410
Citations,with, 879G
András Gáspár,Citations,4
András Gáspár,Citations,Refereed Co-Authored Papers
András Gáspár,Citations,"9. Chasing Shadows: Rotation of the Azimuthal Asymmetry in the TW Hya Disk,"
András Gáspár,Citations,"John H. Debes, Charles A. Poteet, Hannah Jang-Condell, András Gáspár, Dean Hines, Joel H."
András Gáspár,Citations,"Kastner, Laurent Pueyo, Valerie Rapson, Aki Roberge, Glenn Schneider, Alycia J. Weinberger"
András Gáspár,Citations,"2016, AAS Journals, accepted"
Citations,done in,2016
András Gáspár,as,2016
Citations,with,2016
Citations,with, AAS Journals
Citations,with, accepted
András Gáspár,Citations,"10. Protoplanetary and Transitional Disks in the Open Stellar Cluster IC 2395,"
Citations,done in,10. Protoplanetary and Transitional Disks in the Open Stellar Cluster IC 2395
András Gáspár,as,10. Protoplanetary and Transitional Disks in the Open Stellar Cluster IC 2395
Citations,with,10. Protoplanetary and Transitional Disks in the Open Stellar Cluster IC 2395
András Gáspár,Citations,"Balog, Zoltan; Siegler, Nick; Rieke, G. H.; Kiss, L. L.; Muzerolle, James; Gutermuth, R. A.;"
András Gáspár,Citations,"Bell, Cameron P. M.; Vinkó, J.; Su, K. Y. L.; Young, E. T.; Gáspár, András"
András Gáspár,Citations,"2016, The Astrophysical Journal, 832, 87B"
Citations,done in,2016
András Gáspár,as,2016
Citations,with,2016
Citations,with, The Astrophysical Journal
Citations,with, 832
Citations,with, 87B
András Gáspár,Citations,"11. Deep HST/STIS Visible-light Imaging of Debris Systems around Solar Analog Hosts,"
András Gáspár,Citations,"Schneider, Glenn; Grady, Carol A.; Stark, Christopher C.; Gáspár, András; Carson, Joseph;"
András Gáspár,Citations,"Debes, John H.; Henning, Thomas; Hines, Dean C.; Jang-Condell, Hannah; Kuchner, Marc J.;"
András Gáspár,Citations,"Perrin, Marshall; Rodigas, Timothy J.; Tamura, Motohide; Wisniewski, John P."
András Gáspár,Citations,"2016, The Astrophysical Journal, 152, 64S"
Citations,done in,2016
András Gáspár,as,2016
Citations,with,2016
Citations,with, The Astrophysical Journal
Citations,with, 152
Citations,with, 64S
András Gáspár,Citations,12. Nulling Data Reduction and On-sky Performance of the Large Binocular Telescope Interferom-
András Gáspár,Citations,"eter,"
András Gáspár,Citations,"Defrère, D.; Hinz, P. M.; Mennesson, B.; Hoffmann, W. F.; Millan-Gabet, R.; Skemer, A. J.;"
András Gáspár,Citations,"Bailey, V.; Danchi, W. C.; Downey, E. C.; Durney, O.; Grenz, P.; Hill, J. M.; McMahon, T. J.;"
András Gáspár,Citations,"Montoya, M.; Spalding, E.; Vaz, A.; Absil, O.; Arbo, P.; Bailey, H.; Brusa, G.; Bryden, G.;"
András Gáspár,Citations,"Esposito, S.; Gaspar, A.; Haniff, C. A.; Kennedy, G. M.; Leisenring, J. M.; Marion, L.; Nowak,"
András Gáspár,Citations,"M.; Pinna, E.; Powell, K.; Puglisi, A.; Rieke, G.; Roberge, A.; Serabyn, E.; Sosa, R.; Stapeld-"
András Gáspár,Citations,"feldt, K.; Su, K.; Weinberger, A. J.; Wyatt, M. C."
András Gáspár,Citations,"2016, The Astrophysical Journal, 824, 66D"
Citations,done in,2016
András Gáspár,as,2016
Citations,with,2016
Citations,with, The Astrophysical Journal
Citations,with, 824
Citations,with, 66D
András Gáspár,Citations,13. A Comprehensive Dust Model Applied to the Resolved Beta Pictoris Debris Disk from Optical
András Gáspár,Citations,"to Radio Wavelengths,"
András Gáspár,Citations,"Ballering, Nicholas P.; Su, Kate Y. L.; Rieke, George H.; Gáspár, András"
